row	awma_stream_sm_raw
P34_5_80_STREAM	sid=17 cta_assignments=8 distinct_cta_slots=2 global_accesses=17368 local_accesses=7016 param_local_accesses=0 cta_logical_sequence=9,44,129,146,149,178,201,203
P34_5_80_STREAM	sid=18 cta_assignments=6 distinct_cta_slots=2 global_accesses=17127 local_accesses=7168 param_local_accesses=0 cta_logical_sequence=10,45,135,160,174,202
P34_5_80_STREAM	sid=19 cta_assignments=5 distinct_cta_slots=2 global_accesses=15854 local_accesses=6680 param_local_accesses=0 cta_logical_sequence=11,46,141,165,216
P34_5_80_STREAM	sid=20 cta_assignments=7 distinct_cta_slots=2 global_accesses=18868 local_accesses=7864 param_local_accesses=0 cta_logical_sequence=12,47,151,177,194,218,220
P34_5_80_STREAM	sid=21 cta_assignments=5 distinct_cta_slots=2 global_accesses=13483 local_accesses=5616 param_local_accesses=0 cta_logical_sequence=13,48,72,123,154
P34_5_80_STREAM	sid=22 cta_assignments=8 distinct_cta_slots=2 global_accesses=19926 local_accesses=8232 param_local_accesses=0 cta_logical_sequence=14,49,77,164,181,208,217,223
P34_5_80_STREAM	sid=23 cta_assignments=6 distinct_cta_slots=2 global_accesses=16062 local_accesses=6688 param_local_accesses=0 cta_logical_sequence=15,50,80,90,168,175
P34_5_80_STREAM	sid=24 cta_assignments=7 distinct_cta_slots=2 global_accesses=15320 local_accesses=6200 param_local_accesses=0 cta_logical_sequence=16,51,74,87,143,145,169
P34_5_80_STREAM	sid=25 cta_assignments=7 distinct_cta_slots=2 global_accesses=16569 local_accesses=6800 param_local_accesses=0 cta_logical_sequence=17,52,76,91,176,186,188
P34_5_80_STREAM	sid=26 cta_assignments=9 distinct_cta_slots=2 global_accesses=14586 local_accesses=5584 param_local_accesses=0 cta_logical_sequence=18,53,82,97,101,111,144,161,183
P34_5_80_STREAM	sid=27 cta_assignments=8 distinct_cta_slots=2 global_accesses=15104 local_accesses=5936 param_local_accesses=0 cta_logical_sequence=19,54,89,104,163,179,199,211
P34_5_80_STREAM	sid=28 cta_assignments=5 distinct_cta_slots=2 global_accesses=16346 local_accesses=6920 param_local_accesses=0 cta_logical_sequence=20,55,95,109,222
P34_5_80_STREAM	sid=29 cta_assignments=7 distinct_cta_slots=2 global_accesses=14270 local_accesses=5704 param_local_accesses=0 cta_logical_sequence=21,56,99,115,126,148,196
P34_5_80_STREAM	sid=30 cta_assignments=5 distinct_cta_slots=2 global_accesses=13229 local_accesses=5480 param_local_accesses=0 cta_logical_sequence=22,57,106,125,195
P34_5_80_STREAM	sid=31 cta_assignments=8 distinct_cta_slots=2 global_accesses=17365 local_accesses=7032 param_local_accesses=0 cta_logical_sequence=23,58,112,122,130,162,191,213
P34_5_80_STREAM	sid=32 cta_assignments=5 distinct_cta_slots=2 global_accesses=17345 local_accesses=7400 param_local_accesses=0 cta_logical_sequence=24,59,121,142,207
P34_5_80_STREAM	sid=33 cta_assignments=5 distinct_cta_slots=2 global_accesses=13742 local_accesses=5720 param_local_accesses=0 cta_logical_sequence=25,60,124,150,212
P34_5_80_STREAM	sid=34 cta_assignments=5 distinct_cta_slots=2 global_accesses=14999 local_accesses=6320 param_local_accesses=0 cta_logical_sequence=26,61,134,157,198
P34_0_80_STREAM	sid=0 cta_assignments=4 distinct_cta_slots=2 global_accesses=16411 local_accesses=6088 param_local_accesses=0 cta_logical_sequence=27,62,142,168
P34_0_80_STREAM	sid=1 cta_assignments=6 distinct_cta_slots=2 global_accesses=19511 local_accesses=6672 param_local_accesses=0 cta_logical_sequence=28,63,151,179,212,217
P34_0_80_STREAM	sid=2 cta_assignments=6 distinct_cta_slots=2 global_accesses=16682 local_accesses=5728 param_local_accesses=0 cta_logical_sequence=29,64,74,146,155,182
P34_0_80_STREAM	sid=3 cta_assignments=7 distinct_cta_slots=2 global_accesses=20549 local_accesses=7760 param_local_accesses=0 cta_logical_sequence=30,65,78,164,189,208,220
P34_0_80_STREAM	sid=4 cta_assignments=7 distinct_cta_slots=2 global_accesses=20196 local_accesses=7024 param_local_accesses=0 cta_logical_sequence=31,66,84,115,149,173,202
P34_0_80_STREAM	sid=5 cta_assignments=7 distinct_cta_slots=2 global_accesses=15454 local_accesses=5240 param_local_accesses=0 cta_logical_sequence=32,67,70,85,114,123,138
P34_0_80_STREAM	sid=6 cta_assignments=7 distinct_cta_slots=2 global_accesses=17631 local_accesses=6320 param_local_accesses=0 cta_logical_sequence=33,68,77,92,183,192,201
P34_0_80_STREAM	sid=7 cta_assignments=10 distinct_cta_slots=2 global_accesses=21411 local_accesses=7496 param_local_accesses=0 cta_logical_sequence=34,69,80,90,97,113,132,174,178,206
P34_0_80_STREAM	sid=8 cta_assignments=7 distinct_cta_slots=2 global_accesses=16123 local_accesses=5840 param_local_accesses=0 cta_logical_sequence=0,35,71,87,121,143,209
P34_0_80_STREAM	sid=9 cta_assignments=6 distinct_cta_slots=2 global_accesses=17325 local_accesses=6192 param_local_accesses=0 cta_logical_sequence=1,36,76,91,170,184
P34_0_80_STREAM	sid=10 cta_assignments=8 distinct_cta_slots=2 global_accesses=17785 local_accesses=5336 param_local_accesses=0 cta_logical_sequence=2,37,82,101,102,145,153,167
P34_0_80_STREAM	sid=11 cta_assignments=7 distinct_cta_slots=2 global_accesses=18757 local_accesses=6904 param_local_accesses=0 cta_logical_sequence=3,38,89,105,165,188,215
P34_0_80_STREAM	sid=12 cta_assignments=4 distinct_cta_slots=2 global_accesses=14292 local_accesses=5248 param_local_accesses=0 cta_logical_sequence=4,39,95,110
P34_0_80_STREAM	sid=13 cta_assignments=6 distinct_cta_slots=2 global_accesses=18210 local_accesses=6432 param_local_accesses=0 cta_logical_sequence=5,40,99,117,127,172
P34_0_80_STREAM	sid=14 cta_assignments=6 distinct_cta_slots=2 global_accesses=19412 local_accesses=6792 param_local_accesses=0 cta_logical_sequence=6,41,106,126,194,218
P34_0_80_STREAM	sid=15 cta_assignments=5 distinct_cta_slots=2 global_accesses=16273 local_accesses=5720 param_local_accesses=0 cta_logical_sequence=7,42,111,134,197
P34_0_80_STREAM	sid=16 cta_assignments=6 distinct_cta_slots=2 global_accesses=16370 local_accesses=6072 param_local_accesses=0 cta_logical_sequence=8,43,116,140,161,185
P34_0_80_STREAM	sid=17 cta_assignments=5 distinct_cta_slots=2 global_accesses=16592 local_accesses=5600 param_local_accesses=0 cta_logical_sequence=9,44,124,150,211
