set_name	run_index	decode_index	control_decode_ms	fair_decode_ms	selected_control_sum_ms	selected_target_share	summed_local_saving_ms	observed_decode_saving_ms	realization_ratio	nonselected_up_proj_effect_ms
N2	1	2	13.691904067993164	13.634559631347656	0.16281599551439285	0.011891406389196018	0.06758399307727814	0.05734443664550781	0.84849139617924	-0.48454397171735764
N2	1	3	13.689184188842773	13.641887664794922	0.16281599551439285	0.011893769071139705	0.06963199377059937	0.04729652404785156	0.679235527905012	-0.48716795444488525
N2	2	1	13.700096130371094	13.65715217590332	0.16179199516773224	0.011809551818330911	0.059391994029283524	0.04294395446777344	0.7230596508781925	-0.4768959656357765
N2	2	2	13.693951606750488	13.635583877563477	0.16076799482107162	0.0117400732409351	0.06860799342393875	0.05836772918701172	0.8507424029493043	-0.4753919765353203
N2	2	3	13.697407722473145	13.651968002319336	0.16076799482107162	0.011737110997820547	0.06758399307727814	0.045439720153808594	0.6723444130010352	-0.4849279746413231
N2	3	1	13.691904067993164	13.669376373291016	0.16179199516773224	0.011816617642388014	0.062463995069265366	0.022527694702148438	0.3606508785928249	-0.4703359603881836
N2	3	2	13.693951606750488	13.642751693725586	0.16179199516773224	0.011814850805225296	0.07065599411725998	0.051199913024902344	0.7246365105263607	-0.4761599525809288
N2	3	3	13.700096130371094	13.645919799804688	0.16281599551439285	0.011884295844717015	0.07065599411725998	0.05417633056640625	0.7667619887492596	-0.48131197690963745
N2	4	1	13.692928314208984	13.651968002319336	0.16355200111865997	0.011944267680781185	0.061472002416849136	0.04096031188964844	0.6663246726841852	-0.4732799604535103
N2	4	2	13.698047637939453	13.641728401184082	0.16281599551439285	0.011886073097266922	0.06860799342393875	0.056319236755371094	0.8208844763519952	-0.478303961455822
N2	4	3	13.705216407775879	13.666303634643555	0.16281599551439285	0.011879855864371213	0.06860799342393875	0.03891277313232422	0.5671755023044698	-0.47526396065950394
N2	5	1	13.690879821777344	13.67142391204834	0.16383999586105347	0.0119670903545908	0.062463995069265366	0.019455909729003906	0.3114739892546025	-0.470367968082428
N2	5	2	13.698047637939453	13.643072128295898	0.16281599551439285	0.011886073097266922	0.06860799342393875	0.05497550964355469	0.801298899733928	-0.4867199659347534
N2	5	3	13.6910400390625	13.64684772491455	0.16281599551439285	0.011892156844904075	0.06963199377059937	0.04419231414794922	0.6346553036171785	-0.4825919643044472
N2	6	1	13.698047637939453	13.655072212219238	0.16281599551439285	0.011886073097266922	0.062463995069265366	0.042975425720214844	0.6880031556188497	-0.4721279665827751
N2	6	2	13.702367782592773	13.636608123779297	0.16383999586105347	0.01195705723715814	0.06963199377059937	0.06575965881347656	0.9443885669871798	-0.4790079593658447
N2	6	3	13.689855575561523	13.647871971130371	0.16076799482107162	0.011743585893489408	0.06655999273061752	0.041983604431152344	0.6307633566167734	-0.47785595804452896
N4	0	1	13.693951606750488	13.633536338806152	0.3235839903354645	0.023629701610450592	0.09113598987460136	0.06041526794433594	0.662913389402632	-0.4418879747390747
N4	0	2	13.703167915344238	13.619199752807617	0.3246079906821251	0.023688536306896053	0.10035198926925659	0.0839681625366211	0.8367364030156323	-0.44627196341753006
N4	0	3	13.702143669128418	13.625663757324219	0.3246079906821251	0.023690307043961474	0.09830398857593536	0.07647991180419922	0.7779939849045083	-0.44185596331954
N4	1	1	13.698047637939453	13.623295783996582	0.3256319910287857	0.023772146194533845	0.09491199254989624	0.0747518539428711	0.7875912404175189	-0.4424959719181061
N4	1	2	13.68883228302002	13.607935905456543	0.32153598964214325	0.02348892754285439	0.1013759896159172	0.08089637756347656	0.7979836041055514	-0.4430399611592293
N4	1	3	13.697279930114746	13.617152214050293	0.3246079906821251	0.023698719186460094	0.10239998996257782	0.08012771606445312	0.7824973038936418	-0.4422079622745514
