condition	set_name	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
CONTROL_N4	N4	3	13.702143669128418	13.693951606750488	13.720576286315918	0.0007229150817360603	[13.702143669128418, 13.697279930114746, 13.69702434539795, 13.720576286315918, 13.707263946533203, 13.693951606750488, 13.718655586242676]
FAIR_N4	N4	0	26.89504051208496	26.598112106323242	27.022335052490234	0.0051855585984231685	[26.823360443115234, 27.013120651245117, 26.962751388549805, 26.598112106323242, 27.022335052490234, 26.786815643310547, 26.89504051208496]
FAIR_N4	N4	1	13.633536338806152	13.616127967834473	13.648896217346191	0.000782746199906322	[13.633536338806152, 13.623295783996582, 13.635583877563477, 13.648896217346191, 13.622271537780762, 13.640704154968262, 13.616127967834473]
FAIR_N4	N4	2	13.619199752807617	13.597696304321289	13.622271537780762	0.000636801021366163	[13.619199752807617, 13.607935905456543, 13.619199752807617, 13.622271537780762, 13.606911659240723, 13.621248245239258, 13.597696304321289]
FAIR_N4	N4	3	13.625663757324219	13.600768089294434	13.636608123779297	0.0009765057930569224	[13.625663757324219, 13.617152214050293, 13.633536338806152, 13.636608123779297, 13.603839874267578, 13.630880355834961, 13.600768089294434]
CONTROL_N8	N8	0	26.97385597229004	26.828800201416016	26.99875259399414	0.002536281324202495	[26.99875259399414, 26.983104705810547, 26.85526466369629, 26.97385597229004, 26.98137664794922, 26.860544204711914, 26.828800201416016]
CONTROL_N8	N8	1	13.698176383972168	13.691200256347656	13.721823692321777	0.0008779013345344873	[13.694975852966309, 13.715456008911133, 13.721823692321777, 13.718527793884277, 13.698176383972168, 13.691200256347656, 13.694975852966309]
CONTROL_N8	N8	2	13.702143669128418	13.6878080368042	13.717503547668457	0.0007554297969086679	[13.699071884155273, 13.713408470153809, 13.717503547668457, 13.713408470153809, 13.693951606750488, 13.702143669128418, 13.6878080368042]
CONTROL_N8	N8	3	13.706239700317383	13.694975852966309	13.725760459899902	0.0008324099196607401	[13.701567649841309, 13.725760459899902, 13.719552040100098, 13.718527793884277, 13.706239700317383, 13.694975852966309, 13.696000099182129]
FAIR_N8	N8	0	26.97216033935547	26.826751708984375	27.181055068969727	0.0037504243891105502	[26.963327407836914, 26.826751708984375, 26.97216033935547, 27.002880096435547, 27.181055068969727, 26.930143356323242, 27.051584243774414]
FAIR_N8	N8	1	13.605888366699219	13.591551780700684	13.626784324645996	0.0008783891907839666	[13.62063980102539, 13.619199752807617, 13.603839874267578, 13.591551780700684, 13.626784324645996, 13.598719596862793, 13.605888366699219]
FAIR_N8	N8	2	13.601792335510254	13.596672058105469	13.615103721618652	0.00045316038280707497	[13.611007690429688, 13.615103721618652, 13.601792335510254, 13.596672058105469, 13.608223915100098, 13.601792335510254, 13.599743843078613]
FAIR_N8	N8	3	13.618176460266113	13.604864120483398	13.629440307617188	0.0006464878420216251	[13.618176460266113, 13.629440307617188, 13.611007690429688, 13.605888366699219, 13.625791549682617, 13.604864120483398, 13.619296073913574]
CONTROL_N14A	N14A	0	26.995872497558594	26.93631935119629	27.033599853515625	0.001323402038177957	[27.016191482543945, 26.991615295410156, 26.93631935119629, 26.995872497558594, 27.033599853515625, 26.94963264465332, 27.033599853515625]
CONTROL_N14A	N14A	1	13.69702434539795	13.69331169128418	13.714431762695312	0.0005247679233436568	[13.714431762695312, 13.69331169128418, 13.699071884155273, 13.69702434539795, 13.705216407775879, 13.693951606750488, 13.693951606750488]
