condition	target	decode_index	token_id	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256	requested_setaside_bytes	actual_setaside_bytes	transition_count
SHARE2_UP	L14_UP	1	11	0.04608000069856644	0.04505600035190582	0.04710400104522705	0.011878281259478492	[0.04710400104522705, 0.04608000069856644, 0.04505600035190582, 0.04608000069856644, 0.04608000069856644, 0.04608000069856644, 0.04608000069856644]	7452778f19f09e10a4563921776438a1bf015853ab35544b839429f9d52f66e4	01bbee782d3ad81acbdad62b1f87be20228e7351223548ad1b447b190d16957d	33947648	37748736	15
SHARE2_UP	L14_UP	2	323	0.04710400104522705	0.04608000069856644	0.048128001391887665	0.011620057672149688	[0.04710400104522705, 0.04710400104522705, 0.048128001391887665, 0.04710400104522705, 0.04608000069856644, 0.04710400104522705, 0.04710400104522705]	225308e20251277b8e8894ffbde9d11989015a36fbce06334a9eb9961712066b	7fd4ace031eb223e62056e45cd0e3b3e69cf5bb159921725ac44f1c148f1b3a3	33947648	37748736	15
SHARE2_UP	L14_UP	3	3950	0.04608000069856644	0.04608000069856644	0.04710400104522705	0.010893404794895287	[0.04608000069856644, 0.04608000069856644, 0.04710400104522705, 0.04608000069856644, 0.04710400104522705, 0.04710400104522705, 0.04608000069856644]	fad24b505c70b2c4d5265fc0f028fbda7ab87338c131c47e6a534663615297e5	1d4d06b3d59eb3dd8dc7907fd560d2c3bcc97efd037df072c8f534d199ea6eca	33947648	37748736	15
SHARE2_UP	L0_DOWN	0	23578	0.07577600330114365	0.07372800260782242	0.07651200145483017	0.011208279741629502	[0.07577600330114365, 0.07372800260782242, 0.07475200295448303, 0.07577600330114365, 0.07651200145483017, 0.07577600330114365, 0.07577600330114365]	cb50a226fd7403effa427b3aa248b7094a3cffb982b6e6b92aa40d2559b27f93	b01d6063f53842fa93448b59b0f73631b28568764501577e389ca4cf469de6f7	33947648	37748736	15
SHARE2_UP	L0_DOWN	1	11	0.07574400305747986	0.0745600014925003	0.07680000364780426	0.011793948734798169	[0.0745600014925003, 0.07680000364780426, 0.07680000364780426, 0.07475200295448303, 0.07577600330114365, 0.07574400305747986, 0.07468800246715546]	025b9c6e3bb9a34ed6c79e0397b52fdda4892e4718f4ac832eaf27a37eca2fa8	b720fdd0913b1dd3b7df909bd50f71ac928a92531d1b9479a454891d873bf4b2	33947648	37748736	15
SHARE2_UP	L0_DOWN	2	323	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.010896809596511037	[0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07660800218582153, 0.07680000364780426, 0.07577600330114365, 0.07680000364780426]	d4595db8994a4ff32ff77750cf9b8dfdaab4f473145da0e1b871b4a387b92389	06ecadba2a7ce105244e5594071264b9e30b13b27d33dda9b36d044b6209e5e4	33947648	37748736	15
SHARE2_UP	L0_DOWN	3	3950	0.07577600330114365	0.07475200295448303	0.07779199630022049	0.01238015640616859	[0.07577600330114365, 0.07475200295448303, 0.07676800340414047, 0.07545600086450577, 0.07779199630022049, 0.07532799988985062, 0.07577600330114365]	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded	33947648	37748736	15
SHARE2_L0	L0_UP	0	23578	0.1013759970664978	0.10009600222110748	0.10636799782514572	0.01972449168123702	[0.10230399668216705, 0.10009600222110748, 0.10342399775981903, 0.1013759970664978, 0.10636799782514572, 0.10035199671983719, 0.10118400305509567]	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef	858e096b29bd6b0ba94ee9aa1d980ceb45430073354ca232ecc3bba2ed948876	33947648	37748736	15
SHARE2_L0	L0_UP	1	11	0.05459199845790863	0.05427199974656105	0.055296000093221664	0.008743385432141553	[0.055296000093221664, 0.05427199974656105, 0.05459199845790863, 0.05427199974656105, 0.055296000093221664, 0.05427199974656105, 0.055296000093221664]	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b	33947648	37748736	15
SHARE2_L0	L0_UP	2	323	0.055296000093221664	0.05427199974656105	0.05632000043988228	0.009898567849605334	[0.05632000043988228, 0.055296000093221664, 0.055296000093221664, 0.055296000093221664, 0.05427199974656105, 0.055296000093221664, 0.055296000093221664]	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177	1a5703302916b1bb76afbbc8fec106ab2f0c8be1d55050b4acef2594177d3328	33947648	37748736	15
