pattern	point	mode	repetition	step	active_bytes	selected_experts	step_ms	point_id	allocated_bytes	migration_count	migration_bytes	migration_time_ns	gpu_fault_events
D2	RESIDENT	M1	repeat	9	7969177600		12.9708	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	10	8766095360		14.24	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	11	9563013120		15.4457	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	12	10359930880		16.6548	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	13	11156848640		17.8689	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	14	11953766400		19.0792	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	15	12750684160		20.3299	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	0	1015021568		136.746	D2_NEAR_CAPACITY_M0	16240345088	18952	1015087104	63687886	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	1	2030043136		157.043	D2_NEAR_CAPACITY_M0	16240345088	56870	1015021568	106049384	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	2	3045064704		145.837	D2_NEAR_CAPACITY_M0	16240345088	42258	1015021568	88913131	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	3	4060086272		164.872	D2_NEAR_CAPACITY_M0	16240345088	58676	1015021568	106944773	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	4	5075107840		142.063	D2_NEAR_CAPACITY_M0	16240345088	37898	1015021568	83931519	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	5	6090129408		164.554	D2_NEAR_CAPACITY_M0	16240345088	53840	1015021568	101603942	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	6	7105150976		173.761	D2_NEAR_CAPACITY_M0	16240345088	59173	1015021568	107456726	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	7	8120172544		146.95	D2_NEAR_CAPACITY_M0	16240345088	37150	1015021568	83266613	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	8	9135194112		180.981	D2_NEAR_CAPACITY_M0	16240345088	64370	1015021568	113329659	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	9	10150215680		156.937	D2_NEAR_CAPACITY_M0	16240345088	42261	1015021568	88923408	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	10	11165237248		173.907	D2_NEAR_CAPACITY_M0	16240345088	55132	1015021568	103130004	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	11	12180258816		154.488	D2_NEAR_CAPACITY_M0	16240345088	38938	1015021568	85015130	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	12	13195280384		157.728	D2_NEAR_CAPACITY_M0	16240345088	40428	1015021568	86807913	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	13	14210301952		178.717	D2_NEAR_CAPACITY_M0	16240345088	56144	1015021568	104061999	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	14	15225323520		177.11	D2_NEAR_CAPACITY_M0	16240345088	53116	1015021568	100816945	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	15	16240345088		161.719	D2_NEAR_CAPACITY_M0	16240345088	39940	1015021568	86035954	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	0	1015021568		1.5871	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	1	2030043136		3.1512	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	2	3045064704		4.72627	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	3	4060086272		6.28835	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	4	5075107840		7.86586	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	5	6090129408		9.43878	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	6	7105150976		11.0146	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	7	8120172544		12.5912	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	8	9135194112		14.1522	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	9	10150215680		15.7203	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	10	11165237248		17.2702	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	11	12180258816		18.866	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	12	13195280384		20.4375	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	13	14210301952		22.0217	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
