global_dynamic_order	decode_iteration	exact_function	grid	block	stream	semantic_layer	semantic_identity	trace_artifact	size_bytes	context	device_reported	receiver_accepted	raw_records	drop_count	overflow_count	reported_path	xz_integrity
3181	1	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 3, true>(pytorch_flash::Flash_fwd_params)	7,1,1	128,1,1	0	4	self_attn	kernel-3181-ctx_0x5c1527a3dbe0.trace.xz	31220	0x5c1527a3dbe0	7224	7224	7224	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3181-ctx_0x5c1527a3dbe0.trace.xz	PASS
3182	1	void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1>)	7,1,1	128,1,1	0	4	self_attn	kernel-3182-ctx_0x5c1527a3dbe0.trace.xz	2292	0x5c1527a3dbe0	504	504	504	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3182-ctx_0x5c1527a3dbe0.trace.xz	PASS
3183	1	awq_gemm_kernel	112,8,1	128,1,1	0	4	self_attn	kernel-3183-ctx_0x5c1527a3dbe0.trace.xz	53183112	0x5c1527a3dbe0	9189376	9189376	9189376	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3183-ctx_0x5c1527a3dbe0.trace.xz	PASS
3184	1	void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3>)	7,1,1	128,1,1	0		UNKNOWN	kernel-3184-ctx_0x5c1527a3dbe0.trace.xz	3900	0x5c1527a3dbe0	924	924	924	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3184-ctx_0x5c1527a3dbe0.trace.xz	PASS
3185	1	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)	7,1,1	128,1,1	0		UNKNOWN	kernel-3185-ctx_0x5c1527a3dbe0.trace.xz	21164	0x5c1527a3dbe0	5264	5264	5264	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3185-ctx_0x5c1527a3dbe0.trace.xz	PASS
3186	1	void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, at::detail::Array<char*, 2>)	7,1,1	128,1,1	0		UNKNOWN	kernel-3186-ctx_0x5c1527a3dbe0.trace.xz	2640	0x5c1527a3dbe0	560	560	560	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3186-ctx_0x5c1527a3dbe0.trace.xz	PASS
3187	1	void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4>)	1,1,1	512,1,1	0		UNKNOWN	kernel-3187-ctx_0x5c1527a3dbe0.trace.xz	10096	0x5c1527a3dbe0	3132	3132	3132	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3187-ctx_0x5c1527a3dbe0.trace.xz	PASS
3188	1	void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)	1,1,1	128,1,1	0		UNKNOWN	kernel-3188-ctx_0x5c1527a3dbe0.trace.xz	1016	0x5c1527a3dbe0	88	88	88	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3188-ctx_0x5c1527a3dbe0.trace.xz	PASS
3189	1	void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)	1,1,1	128,1,1	0		UNKNOWN	kernel-3189-ctx_0x5c1527a3dbe0.trace.xz	1412	0x5c1527a3dbe0	164	164	164	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3189-ctx_0x5c1527a3dbe0.trace.xz	PASS
3190	1	void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})	14,1,1	128,1,1	0		UNKNOWN	kernel-3190-ctx_0x5c1527a3dbe0.trace.xz	15100	0x5c1527a3dbe0	3640	3640	3640	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3190-ctx_0x5c1527a3dbe0.trace.xz	PASS
3191	1	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)	7,1,1	128,1,1	0		UNKNOWN	kernel-3191-ctx_0x5c1527a3dbe0.trace.xz	20752	0x5c1527a3dbe0	5124	5124	5124	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3191-ctx_0x5c1527a3dbe0.trace.xz	PASS
3192	1	void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3> >(int, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3>)	7,1,1	128,1,1	0		UNKNOWN	kernel-3192-ctx_0x5c1527a3dbe0.trace.xz	4000	0x5c1527a3dbe0	924	924	924	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3192-ctx_0x5c1527a3dbe0.trace.xz	PASS
3193	1	void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1>)	37,1,1	128,1,1	0	4	gate_proj	kernel-3193-ctx_0x5c1527a3dbe0.trace.xz	10560	0x5c1527a3dbe0	2664	2664	2664	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3193-ctx_0x5c1527a3dbe0.trace.xz	PASS
3194	1	awq_gemm_kernel	592,8,1	128,1,1	0	4	gate_proj	kernel-3194-ctx_0x5c1527a3dbe0.trace.xz	313148448	0x5c1527a3dbe0	48572416	48572416	48572416	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3194-ctx_0x5c1527a3dbe0.trace.xz	PASS
3195	1	void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#5}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#5}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2>)	37,1,1	128,1,1	0		UNKNOWN	kernel-3195-ctx_0x5c1527a3dbe0.trace.xz	65352	0x5c1527a3dbe0	15244	15244	15244	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3195-ctx_0x5c1527a3dbe0.trace.xz	PASS
