phase	utc	mem_available_kb	swap_free_kb	memory_psi_full_avg10	io_psi_full_avg10	pswpin	pswpout	cpu_iowait_ticks	cpu_total_ticks	loadavg_1	loadavg_5	loadavg_15	c12_simulator_count	c12_worker_rss_kb	swap_in_mib_s	swap_out_mib_s	cpu_iowait_pct
batch_running	2026-09-08T08:05:13+00:00	196994860	108	0.0	0.0	2997900	8769429	1111517261	285252164826	599.25	519.75	504.60	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000372	0.000000	0.0006
independent_live_monitor	2026-09-08T08:05:23+00:00	197049964	112	0.0	0.0	2997904	8769429	1111517272	285252663432	598.77	522.26	505.58	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.001563	0.000000	0.0022
batch_running	2026-09-08T08:05:43+00:00	198834416	128	0.0	0.0	2997909	8769429	1111517277	285253702420	602.67	528.12	507.86	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000977	0.000000	0.0005
independent_live_monitor	2026-09-08T08:05:53+00:00	198854956	148	0.0	0.0	2997911	8769429	1111517321	285254226765	602.25	530.50	508.85	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000781	0.000000	0.0084
batch_running	2026-09-08T08:06:13+00:00	198736116	172	0.0	0.0	2997919	8769429	1111517366	285255239405	607.93	536.39	511.25	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.001563	0.000000	0.0044
independent_live_monitor	2026-09-08T08:06:24+00:00	198659912	184	0.0	0.0	2997922	8769429	1111517369	285255789088	608.80	538.93	512.35	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.001065	0.000000	0.0005
batch_running	2026-09-08T08:06:43+00:00	198828244	192	0.0	0.0	2997924	8769429	1111517492	285256776395	607.42	543.13	514.30	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000411	0.000000	0.0125
independent_live_monitor	2026-09-08T08:06:54+00:00	198748908	196	0.0	0.0	2997925	8769429	1111517535	285257354132	606.70	545.10	515.25	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000355	0.000000	0.0074
batch_running	2026-09-08T08:07:13+00:00	198543636	204	0.0	0.0	2997927	8769429	1111517586	285258313752	603.88	548.48	516.99	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000411	0.000000	0.0053
independent_live_monitor	2026-09-08T08:07:25+00:00	198727404	228	0.0	0.0	2997927	8769429	1111517590	285258918880	604.11	550.35	517.94	6	1130907:843176;1130953:438272;1162513:401408;1162534:471040;1162615:368640;1162625:348160	0.000000	0.000000	0.0007
batch_running	2026-09-08T08:07:43+00:00	198580112	232	0.0	0.0	2997928	8769429	1111517644	285259850975	601.92	553.34	519.62	6	1130907:843176;1130953:438272;1162513:507904;1162534:524288;1162615:368640;1162625:348160	0.000217	0.000000	0.0058
independent_live_monitor	2026-09-08T08:07:55+00:00	198690568	580	0.0	0.0	2998050	8769429	1111517647	285260483049	601.50	555.65	520.92	6	1130907:843176;1130953:438272;1162513:507904;1162534:524288;1162615:368640;1162625:348160	0.039714	0.000000	0.0005
batch_running	2026-09-08T08:08:13+00:00	198063792	4	0.0	0.0	2998051	8769574	1111517649	285261387590	556.75	548.21	519.05	6	1130907:843176;1130953:438272;1162513:507904;1162534:524288;1162615:368640;1162625:348160	0.000217	0.031467	0.0002
independent_live_monitor	2026-09-08T08:08:26+00:00	198046064	4	0.0	0.0	2998051	8769574	1111517695	285262046973	470.85	529.89	513.54	6	1130907:843176;1130953:438272;1162513:516096;1162534:536576;1162615:368640;1162625:348160	0.000000	0.000000	0.0070
batch_running	2026-09-08T08:08:43+00:00	198064504	12	0.0	0.0	2998054	8769574	1111517707	285262922976	374.01	505.58	505.85	6	1130907:843176;1130953:438272;1162513:532480;1162534:557056;1162615:368640;1162625:348160	0.000689	0.000000	0.0014
independent_live_monitor	2026-09-08T08:08:56+00:00	198046716	12	0.0	0.0	2998054	8769574	1111517737	285263609858	298.61	482.47	498.28	6	1130907:843176;1130953:438272;1162513:532480;1162534:557056;1162615:368640;1162625:348160	0.000000	0.000000	0.0044
batch_running	2026-09-08T08:09:13+00:00	197998680	16	0.0	0.0	2998055	8769574	1111517755	285264458388	240.08	460.52	490.84	6	1130907:843176;1130953:438272;1162513:532480;1162534:557056;1162615:368640;1162625:348160	0.000230	0.000000	0.0021
independent_live_monitor	2026-09-08T08:09:27+00:00	197884188	32	0.0	0.0	2998059	8769574	1111517858	285265170868	194.41	439.62	483.52	6	1130907:843176;1130953:438272;1162513:532480;1162534:557056;1162615:368640;1162625:356352	0.001116	0.000000	0.0145
batch_before_launch	2026-09-08T08:09:28+00:00	197838104	32	0.0	0.0	2998059	8769574	1111517858	285265229104	194.41	439.62	483.52	6	1130907:843176;1130953:438272;1162513:532480;1162534:557056;1162615:368640;1162625:356352	0.000000	0.000000	0.0000
batch_running	2026-09-08T08:09:43+00:00	198135596	40	0.0	0.0	2998060	8769574	1111517879	285265994036	159.09	419.80	476.33	8	1130907:843176;1130953:438272;1162513:532480;1162534:557056;1162615:368640;1162625:368640;1176172:344064;1176188:155648	0.000260	0.000000	0.0027
independent_live_monitor	2026-09-08T08:09:58+00:00	196738264	60	0.0	0.0	2998065	8769574	1111517895	285266730831	243.50	425.44	477.25	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:368640;1162625:368640;1176172:352256;1176188:290816	0.001302	0.000000	0.0022
batch_running	2026-09-08T08:09:59+00:00	196107820	60	0.0	0.0	2998065	8769574	1111517897	285266791442	243.50	425.44	477.25	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:372736;1162625:368640;1176172:352256;1176188:290816	0.000000	0.000000	0.0033
batch_running	2026-09-08T08:10:13+00:00	199261900	96	0.0	0.0	2998077	8769574	1111517922	285267530033	341.74	438.32	480.64	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:368640;1176188:307200	0.003348	0.000000	0.0034
independent_live_monitor	2026-09-08T08:10:28+00:00	199471500	96	0.0	0.0	2998077	8769574	1111517931	285268298086	406.65	447.96	483.12	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:380928;1176188:307200	0.000000	0.000000	0.0012
batch_running	2026-09-08T08:10:29+00:00	199433720	96	0.0	0.0	2998077	8769574	1111517931	285268326927	406.65	447.96	483.12	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:380928;1176188:307200	0.000000	0.000000	0.0000
batch_running	2026-09-08T08:10:43+00:00	199419684	104	0.0	0.0	2998079	8769574	1111517978	285269065309	450.21	455.58	485.05	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:389120;1176188:307200	0.000558	0.000000	0.0064
batch_running	2026-09-08T08:10:59+00:00	197660428	128	0.0	0.0	2998085	8769574	1111517981	285269861978	483.43	462.70	486.91	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:397312;1176188:307200	0.001465	0.000000	0.0004
independent_live_monitor	2026-09-08T08:10:59+00:00	197660240	128	0.0	0.0	2998085	8769574	1111517981	285269862233	483.43	462.70	486.91	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:397312;1176188:307200	0.000000	0.000000	0.0000
batch_running	2026-09-08T08:11:13+00:00	199438212	140	0.0	0.0	2998088	8769574	1111517986	285270599576	509.88	469.55	488.76	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:307200	0.000837	0.000000	0.0007
batch_running	2026-09-08T08:11:29+00:00	199360792	160	0.0	0.0	2998092	8769574	1111517990	285271396845	529.25	475.80	490.50	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:307200	0.000977	0.000000	0.0005
independent_live_monitor	2026-09-08T08:11:29+00:00	199363308	160	0.0	0.0	2998092	8769574	1111517990	285271427328	529.25	475.80	490.50	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:307200	0.000000	0.000000	0.0000
batch_running	2026-09-08T08:11:43+00:00	199524820	208	0.0	0.0	2998107	8769574	1111518044	285272134448	546.01	482.10	492.32	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:307200	0.004185	0.000000	0.0076
batch_running	2026-09-08T08:11:59+00:00	197764996	216	0.0	0.0	2998109	8769574	1111518089	285272930970	558.14	487.93	494.07	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:307200	0.000488	0.000000	0.0056
independent_live_monitor	2026-09-08T08:12:00+00:00	197770076	216	0.0	0.0	2998109	8769574	1111518089	285272991912	558.14	487.93	494.07	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:307200	0.000000	0.000000	0.0000
batch_running	2026-09-08T08:12:13+00:00	200194844	224	0.0	0.0	2998109	8769574	1111518196	285273669642	565.77	493.06	495.65	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:307200	0.000000	0.000000	0.0158
batch_running	2026-09-08T08:12:29+00:00	200256268	236	0.0	0.0	2998112	8769574	1111518201	285274465907	575.95	498.87	497.51	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:327680	0.000732	0.000000	0.0006
independent_live_monitor	2026-09-08T08:12:31+00:00	200265764	236	0.0	0.0	2998112	8769574	1111518201	285274559258	578.84	500.75	498.12	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:401408;1176188:331776	0.000000	0.000000	0.0000
batch_running	2026-09-08T08:12:43+00:00	199967844	252	0.0	0.0	2998118	8769574	1111518204	285275204699	582.37	504.08	499.24	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:421888;1176188:331776	0.001953	0.000000	0.0005
batch_running	2026-09-08T08:12:59+00:00	198426024	0	0.0	0.0	2998118	8769638	1111518217	285276000676	587.61	509.07	500.95	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000000	0.015625	0.0016
independent_live_monitor	2026-09-08T08:13:01+00:00	198434824	8	0.0	0.0	2998120	8769638	1111518224	285276126070	589.24	510.71	501.52	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.003906	0.000000	0.0056
batch_running	2026-09-08T08:13:13+00:00	199923748	8	0.0	0.0	2998122	8769638	1111518233	285276738832	591.06	513.70	502.59	8	1130907:842888;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000651	0.000000	0.0015
batch_running	2026-09-08T08:13:29+00:00	199842040	28	0.0	0.0	2998131	8769638	1111518253	285277535153	594.03	518.17	504.24	8	1130907:846984;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.002197	0.000000	0.0025
independent_live_monitor	2026-09-08T08:13:32+00:00	200788644	28	0.0	0.0	2998131	8769638	1111518258	285277695086	593.87	519.40	504.71	8	1130907:846984;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000000	0.000000	0.0031
batch_running	2026-09-08T08:13:43+00:00	201563168	36	0.0	0.0	2998133	8769638	1111518270	285278273427	595.73	522.25	505.79	8	1130907:846984;1130953:438272;1162513:532480;1162534:557056;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000710	0.000000	0.0021
batch_running	2026-09-08T08:13:59+00:00	201853812	48	0.0	0.0	2998136	8769638	1111518273	285279069298	597.21	526.17	507.34	8	1130907:846984;1130953:438272;1162513:557056;1162534:557056;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000732	0.000000	0.0004
independent_live_monitor	2026-09-08T08:14:03+00:00	200284384	52	0.0	0.0	2998137	8769638	1111518275	285279263614	597.59	527.43	507.85	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000977	0.000000	0.0010
batch_running	2026-09-08T08:14:13+00:00	201583092	60	0.0	0.0	2998138	8769638	1111518277	285279808008	597.83	529.79	508.83	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000391	0.000000	0.0004
batch_running	2026-09-08T08:14:29+00:00	201600516	60	0.0	0.0	2998138	8769638	1111518301	285280603187	598.62	533.31	510.32	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000000	0.000000	0.0030
independent_live_monitor	2026-09-08T08:14:33+00:00	201654392	60	0.0	0.0	2998138	8769638	1111518302	285280830434	597.53	534.17	510.72	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.000000	0.000000	0.0004
batch_running	2026-09-08T08:14:43+00:00	201623012	76	0.0	0.0	2998142	8769638	1111518379	285281342332	599.25	536.62	511.77	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:331776	0.001563	0.000000	0.0150
batch_running	2026-09-08T08:14:59+00:00	201581768	0	0.0	0.0	2998437	8769946	1111518385	285282137456	599.60	539.76	513.19	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:372736	0.072021	0.075195	0.0008
independent_live_monitor	2026-09-08T08:15:04+00:00	201110028	0	0.0	0.0	2998437	8769946	1111518386	285282395980	599.31	540.69	513.64	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000000	0.000000	0.0004
batch_running	2026-09-08T08:15:13+00:00	201431832	4	0.0	0.0	2998438	8769946	1111518388	285282876433	599.46	542.65	514.56	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000434	0.000000	0.0004
batch_running	2026-09-08T08:15:29+00:00	201405164	12	0.0	0.0	2998440	8769946	1111518391	285283671681	601.49	545.88	516.07	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000488	0.000000	0.0004
independent_live_monitor	2026-09-08T08:15:35+00:00	201432616	16	0.0	0.0	2998441	8769946	1111518393	285283963050	601.45	546.80	516.53	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000651	0.000000	0.0007
batch_running	2026-09-08T08:15:43+00:00	201433140	24	0.0	0.0	2998443	8769946	1111518400	285284410329	601.97	548.71	517.48	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000977	0.000000	0.0016
