budget_name	run_index	decode_index	direct_up_saving_ms	gate_saving_ms	down_saving_ms	total_ffn_projection_saving_ms	mlp_top_saving_ms	mlp_internal_residual_ms	self_attn_saving_ms	norm_saving_ms	final_stage_saving_ms	observed_decode_saving_ms	accounted_toplevel_saving_ms	unexplained_residual_ms	negative_offset_from_direct_up_ms	measured_non_up_offset_ms	localized_offset_fraction
B16	5	3	0.36908791214227676	-0.24937593191862106	-0.08588803559541702	0.03382394462823868	0.04739196598529816	0.013568021357059479	0.17612801492214203	0.04057599417865276	0.013471966609358788	0.3594245910644531	0.27756794169545174	0.08185664936900139	0.009663321077823639	0.09151997044682503	9.47086097106452
B16	6	1	0.36351992189884186	-0.33596794307231903	-0.09628802537918091	-0.06873604655265808	-0.08566397428512573	-0.01692792773246765	-0.06787189841270447	-0.031712005846202374	-0.006144046783447266	-0.23244857788085938	-0.19139192532747984	-0.041056652553379536	0.5959684997797012	0.5549118472263217	0.9311093580137942
B16	6	2	0.36835192888975143	-0.2970879524946213	-0.09792003035545349	-0.026656053960323334	-0.013408035039901733	0.0132480189204216	-0.09632003307342529	-0.035999998450279236	-0.01126396656036377	-0.1607685089111328	-0.15699203312397003	-0.0037764757871627808	0.5291204378008842	0.5253439620137215	0.9928627293195128
B16	6	3	0.35628791898489	-0.3215039595961571	-0.08598402142524719	-0.05120006203651428	-0.08755205571651459	-0.036351993680000305	-0.13555198907852173	-0.08704000059515238	0.005056039430201054	-0.36966514587402344	-0.30508800595998764	-0.0645771399140358	0.7259530648589134	0.6613759249448776	0.9110450206218412
B24	0	1	0.4106239229440689	-0.39535996317863464	0.00502399355173111	0.020287953317165375	0.01686382293701172	-0.003424130380153656	-0.09407995641231537	-0.007040009833872318	0.0	-0.08563232421875	-0.08425614330917597	-0.0013761809095740318	0.4962562471628189	0.4948800662532449	0.9972268743870896
B24	0	2	0.409247949719429	-0.3906559646129608	0.0030719786882400513	0.021663963794708252	0.035744041204452515	0.014080077409744263	-0.11356797814369202	-0.012255985289812088	0.009312033653259277	-0.08806419372558594	-0.08076788857579231	-0.007296305149793625	0.49731214344501495	0.49001583829522133	0.9853285200332126
B24	0	3	0.43276794627308846	-0.49196796119213104	-0.01891200989484787	-0.07811202481389046	-0.047104090452194214	0.031007934361696243	-0.09363195300102234	0.013919995166361332	0.0032000234350562096	-0.11059188842773438	-0.12361602485179901	0.013024136424064636	0.5433598347008228	0.5563839711248875	1.0239696341030355
B24	1	1	0.4058879390358925	-0.44307197630405426	0.014623984694480896	-0.022560052573680878	-0.049248069524765015	-0.026688016951084137	-0.19263999164104462	-0.03043200634419918	-0.006431944668292999	-0.36351966857910156	-0.2787520121783018	-0.08476765640079975	0.769407607614994	0.6846399512141943	0.8898273742528201
B24	1	2	0.41523192822933197	-0.4079999476671219	-0.009024009108543396	-0.001792028546333313	-0.017408058047294617	-0.015616029500961304	-0.2205759882926941	-0.05728000681847334	-0.006208015605807304	-0.3307514190673828	-0.30147206876426935	-0.02927935030311346	0.7459833472967148	0.7167039969936013	0.9607506649991375
B24	1	3	0.4082239419221878	-0.42425595968961716	0.013791956007480621	-0.0022400617599487305	-0.009791940450668335	-0.0075518786907196045	-0.27644795179367065	-0.07030399888753891	-0.0135040283203125	-0.4024314880371094	-0.3700479194521904	-0.032383568584918976	0.8106554299592972	0.7782718613743782	0.9600526100385894
B24	2	1	0.42511992901563644	-0.34147197753190994	-0.0058559998869895935	0.07779195159673691	0.11081597208976746	0.03302402049303055	0.009632006287574768	0.01647999882698059	0.003072023391723633	0.19148826599121094	0.14000000059604645	0.05148826539516449	0.2336316630244255	0.28511992841959	1.2203822235763546
B24	2	2	0.4138559475541115	-0.3694079741835594	0.010815970599651337	0.0552639439702034	0.07078391313552856	0.015519969165325165	-0.0318080335855484	0.016576004214584827	-0.012063980102539062	0.05631828308105469	0.04348790366202593	0.012830379419028759	0.3575376644730568	0.37036804389208555	1.035885392488476
B24	2	3	0.408767931163311	-0.38979198783636093	0.006303973495960236	0.02527991682291031	0.05193589627742767	0.026655979454517365	-0.049568042159080505	0.028383998200297356	0.005439957603812218	0.07168006896972656	0.03619180992245674	0.03548825904726982	0.33708786219358444	0.37257612124085426	1.1052789584778626
B24	3	1	0.42931192368268967	-0.3590719476342201	-0.002111971378326416	0.06812800467014313	0.10873596370220184	0.040607959032058716	-0.1006399393081665	0.006816009059548378	-0.006655996665358543	0.0184326171875	0.008256036788225174	0.010176580399274826	0.41087930649518967	0.4210558868944645	1.0247678095207113
B24	3	2	0.39859194308519363	-0.36083193868398666	-0.004256002604961395	0.033504001796245575	0.04217594861984253	0.008671946823596954	-0.011487960815429688	0.02358400449156761	-0.007167935371398926	0.06758308410644531	0.04710405692458153	0.020479027181863785	0.3310088589787483	0.3514878861606121	1.0618685168881796
B24	3	3	0.4052799344062805	-0.36185595393180847	0.0027840062975883484	0.046207986772060394	0.07817603647708893	0.031968049705028534	0.03036804497241974	0.050208015367388725	0.005151920020580292	0.2150402069091797	0.16390401683747768	0.051136190071702003	0.19023972749710083	0.24137591756880283	1.2687986928097408
B24	4	1	0.4244479462504387	-0.34140798449516296	0.009504005312919617	0.09254396706819534	0.11072002351284027	0.018176056444644928	0.05020803213119507	0.025248012505471706	0.0	0.26726341247558594	0.18617606814950705	0.08108734432607889	0.15718453377485275	0.23827187810093164	1.5158735556147427
B24	4	2	0.41558393090963364	-0.37046394497156143	-0.010879971086978912	0.03424001485109329	0.02716800570487976	-0.0070720091462135315	0.09084801375865936	0.03289599809795618	-0.005279927514493465	0.2214069366455078	0.14563209004700184	0.07577484659850597	0.19417699426412582	0.2699518408626318	1.3902359642843918
B24	4	3	0.4165119379758835	-0.3788479268550873	0.0075199902057647705	0.045184001326560974	0.07775995135307312	0.032575950026512146	-0.0289279967546463	0.065887994132936	-0.0007678894326090813	0.1679363250732422	0.11395205929875374	0.05398426577448845	0.2485756129026413	0.30255987867712975	1.2171744248927279
