condition	budget_name	layer	category	decode_index	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
CONTROL_BFULL	BFULL	1	post_attention_layernorm	2	0.015359999611973763	0.014336000196635723	0.015359999611973763	0.02330474176893021	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015135999768972397, 0.014336000196635723, 0.015359999611973763]	3f7383daf1ee14a6a2b87d2990c6907b62981d7ec273c5691756c44b222235df	c794c82c7f47e34ce6f1c4948ca3078047ff7a6aad4b8a192bcbc8f16b489c6f
CONTROL_BFULL	BFULL	1	post_attention_layernorm	3	0.015359999611973763	0.015359999611973763	0.016383999958634377	0.023108402127316886	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.016383999958634377]	1e87f257ffae5a2e9260c88b21501f87dc8df62d54707f901545e30c3cdae3a2	1e5c56c5c3415beb57492c0644c0e933eeb27d164b6b71351726cb9fa0b46272
CONTROL_BFULL	BFULL	1	mlp	0	0.27033600211143494	0.26419198513031006	0.27852800488471985	0.016274489693466055	[0.2672640085220337, 0.27238398790359497, 0.27113598585128784, 0.27852800488471985, 0.26419198513031006, 0.27033600211143494, 0.2662400007247925]	db6650c0130f05765968af959f30b49088e3776a2723cccf932989e55b9c44da	fc587d356a45f3f79d0e194514cc6fdbe98a16daa4727b46bd49f27bc7d02e89
CONTROL_BFULL	BFULL	1	mlp	1	0.23244799673557281	0.23244799673557281	0.23347200453281403	0.0015405713314807614	[0.23244799673557281, 0.23244799673557281, 0.23244799673557281, 0.23244799673557281, 0.23347200453281403, 0.23244799673557281, 0.23244799673557281]	77926c0871ec99596aa206d8f0d9495db1c9fb6244490cbaa74da4ae17104b9c	f85da85dbecbb713c24a4232c97210230cd04e6fd25f5a46c29763dd91cfb893
CONTROL_BFULL	BFULL	1	mlp	2	0.23347200453281403	0.23244799673557281	0.23347200453281403	0.001983878110445795	[0.23347200453281403, 0.23347200453281403, 0.23347200453281403, 0.23244799673557281, 0.23347200453281403, 0.23244799673557281, 0.23347200453281403]	c794c82c7f47e34ce6f1c4948ca3078047ff7a6aad4b8a192bcbc8f16b489c6f	a544f517fe6f33834a508497bb1d406e66f4cafcd0accf7ca6615075bc5f0842
CONTROL_BFULL	BFULL	1	mlp	3	0.23244799673557281	0.23244799673557281	0.23347200453281403	0.0015405713314807614	[0.23244799673557281, 0.23244799673557281, 0.23244799673557281, 0.23347200453281403, 0.23244799673557281, 0.23244799673557281, 0.23244799673557281]	1e5c56c5c3415beb57492c0644c0e933eeb27d164b6b71351726cb9fa0b46272	37a4f0a882f354cfdd16630d300920307459661ca74f0e3554fa54caf01b0c76
CONTROL_BFULL	BFULL	2	input_layernorm	0	0.015359999611973763	0.015359999611973763	0.016383999958634377	0.023358650233160725	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.016383999958634377, 0.015776000916957855]	62e6820952d5e9ccc93a6448cbe1a50ca53132cdd03fcea483ee6bf242e65f11	c34d2903af8396ebbb5a4604e6fb207e0079b9175984fc40bfba55d58faa99e6
CONTROL_BFULL	BFULL	2	input_layernorm	1	0.015359999611973763	0.015359999611973763	0.016383999958634377	0.022773946354593285	[0.01539199985563755, 0.016383999958634377, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015424000099301338]	c37d101fd1746305f55af969c1604393ca65054e96ce74eb300a71768bc9cb98	e1ea4ffbc58e091f0091ae8469e52264344e92a34082bb82112a5e293fb35ccf
CONTROL_BFULL	BFULL	2	input_layernorm	2	0.015359999611973763	0.015359999611973763	0.015968000516295433	0.013773416725495327	[0.015968000516295433, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763]	616c5091f5260daa1496e9f9d0f0f8cbc37e267cd24124e84835623ae38fb6f5	314082ec2ac2d82313d54c5150316dc8d9ce8d2d416e3ea5ca51102673567b30
CONTROL_BFULL	BFULL	2	input_layernorm	3	0.015359999611973763	0.015359999611973763	0.016383999958634377	0.023108402127316886	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.016383999958634377]	b2ffce2a10dda1ac847f14941442ee16681c674845f9b1557175357ab0b0c765	2a708d3f90a84d97589b1f9b1037763e304ba26b3708856cfdb2bc94993a2af0
CONTROL_BFULL	BFULL	2	self_attn	0	0.2519040107727051	0.2467840015888214	0.26009601354599	0.017653859279102478	[0.2549760043621063, 0.2519040107727051, 0.2590720057487488, 0.26009601354599, 0.2519040107727051, 0.24985599517822266, 0.2467840015888214]	c34d2903af8396ebbb5a4604e6fb207e0079b9175984fc40bfba55d58faa99e6	fb5e1ab1a40ccbf42bba39db3b0cf16f82a2b9ea65911249667d2c53f8cdf1ff
CONTROL_BFULL	BFULL	2	self_attn	1	0.1740799993276596	0.1730560064315796	0.1740799993276596	0.0026618313951310645	[0.1730560064315796, 0.1730560064315796, 0.1740799993276596, 0.1740799993276596, 0.1740799993276596, 0.1740799993276596, 0.1740799993276596]	e1ea4ffbc58e091f0091ae8469e52264344e92a34082bb82112a5e293fb35ccf	6121afbeca0e0ccef5db5c9e314aa7cf470433b94f83d5f7951cd3e30a182347
CONTROL_BFULL	BFULL	2	self_attn	2	0.1740799993276596	0.1730560064315796	0.1740799993276596	0.002060111644084157	[0.1740799993276596, 0.1740799993276596, 0.1740799993276596, 0.1740799993276596, 0.1740799993276596, 0.1740799993276596, 0.1730560064315796]	314082ec2ac2d82313d54c5150316dc8d9ce8d2d416e3ea5ca51102673567b30	c3b1b0a95a4ee8ba6e25c71709b276d4efc3315d9f7b70bc4da3053dbbbea18c
CONTROL_BFULL	BFULL	2	self_attn	3	0.1740799993276596	0.1740799993276596	0.17510400712490082	0.002903711600613026	[0.17510400712490082, 0.17510400712490082, 0.1740799993276596, 0.1740799993276596, 0.17510400712490082, 0.1740799993276596, 0.1740799993276596]	2a708d3f90a84d97589b1f9b1037763e304ba26b3708856cfdb2bc94993a2af0	582bdba43d578c9750bd03dcd9a20f239acdeff5bff9da512d003b93add4b971
CONTROL_BFULL	BFULL	2	post_attention_layernorm	0	0.04608000069856644	0.04259200021624565	0.0490880012512207	0.03783238480511164	[0.04588799923658371, 0.04604800045490265, 0.04608000069856644, 0.04608000069856644, 0.04259200021624565, 0.0490880012512207, 0.04608000069856644]	a6cf2e5ef09fa439f51065ad4e45c34d78519ef414d8b3bdfd75d27223513dae	9d2364762e2f758fe3a74a08daf52c733b3c6c6a44ca0c5ba446d6235903ff7c
CONTROL_BFULL	BFULL	2	post_attention_layernorm	1	0.015359999611973763	0.014336000196635723	0.015519999898970127	0.031221991427844265	[0.014336000196635723, 0.015200000256299973, 0.015359999611973763, 0.014336000196635723, 0.015359999611973763, 0.015359999611973763, 0.015519999898970127]	d2fda3845721220454bb778bbbdc0022a835dfa370e8ea37bfc3390dd2c66b96	6d7fb6ecc82a1ac1629524618b7e6702fb83cb9e8a10dad449ba4b6828075d4a
CONTROL_BFULL	BFULL	2	post_attention_layernorm	2	0.015359999611973763	0.015359999611973763	0.01568000018596649	0.007268528739340652	[0.015359999611973763, 0.01568000018596649, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763]	a37644f1496ade1b155da5a67c1539b120a992eb3ed61230456e581b451fa843	1eabc51ddc487bf718ae82d3e1bd9fbfe64b0ed81b48526767f83c714a939d3a
CONTROL_BFULL	BFULL	2	post_attention_layernorm	3	0.014879999682307243	0.014336000196635723	0.015359999611973763	0.02909746442697632	[0.015359999611973763, 0.014879999682307243, 0.014336000196635723, 0.014688000082969666, 0.015359999611973763, 0.014336000196635723, 0.015359999611973763]	92cbbec5ec7bff9dfd85ff219bbf586376c3384b6964471fecc3c030abe46684	ec2b80502f212d82f905bbadb8a0690524d8f55de1b02a458a27cd15c83ff4ff
