role	M	implementation	dose_mib	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
q_proj	1	AWQ_FP16_INPUT	48	0.032896000891923904	0.031936001032590866	0.03388800099492073	0.021589069536930672	[0.03388800099492073, 0.03379200026392937, 0.032896000891923904, 0.031936001032590866, 0.03379200026392937, 0.032416000962257385, 0.032735999673604965]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
q_proj	1	AWQ_FP16_INPUT	56	0.03379200026392937	0.03276799991726875	0.03436800092458725	0.01653507997130339	[0.03388800099492073, 0.03379200026392937, 0.03436800092458725, 0.03379200026392937, 0.033376000821590424, 0.03276799991726875, 0.03276799991726875]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
q_proj	1	AWQ_FP16_INPUT	60	0.03363199904561043	0.03190400078892708	0.03481600061058998	0.023658491321396653	[0.033440001308918, 0.03363199904561043, 0.033440001308918, 0.03379200026392937, 0.03481600061058998, 0.03190400078892708, 0.03363199904561043]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
q_proj	1	AWQ_FP16_INPUT	64	0.03379200026392937	0.033535998314619064	0.03651199862360954	0.028456984930698075	[0.03468799963593483, 0.033663999289274216, 0.03372799977660179, 0.03379200026392937, 0.03651199862360954, 0.034623999148607254, 0.033535998314619064]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
q_proj	1	AWQ_FP16_INPUT	72	0.03471999987959862	0.03379200026392937	0.035392001271247864	0.014977897414852672	[0.03379200026392937, 0.034015998244285583, 0.0350399985909462, 0.034623999148607254, 0.03484800085425377, 0.03471999987959862, 0.035392001271247864]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
q_proj	1	AWQ_FP16_INPUT	96	0.03452799841761589	0.03379200026392937	0.03564799949526787	0.017430294773616115	[0.03420799970626831, 0.03481600061058998, 0.03385600075125694, 0.03452799841761589, 0.03484800085425377, 0.03379200026392937, 0.03564799949526787]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
up_proj	1	AWQ_FP16_INPUT	0	0.04604800045490265	0.04566400125622749	0.04742399975657463	0.011352837104742672	[0.04623999819159508, 0.04604800045490265, 0.04604800045490265, 0.04742399975657463, 0.04608000069856644, 0.0459199994802475, 0.04566400125622749]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	1	AWQ_FP16_INPUT	16	0.04774399846792221	0.04710400104522705	0.049536000937223434	0.015605158060220854	[0.04771199822425842, 0.04793599992990494, 0.049536000937223434, 0.04710400104522705, 0.048128001391887665, 0.04774399846792221, 0.047200001776218414]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	1	AWQ_FP16_INPUT	24	0.048128001391887665	0.048128001391887665	0.04912000149488449	0.00805201836229854	[0.048895999789237976, 0.048128001391887665, 0.04912000149488449, 0.048128001391887665, 0.04851200059056282, 0.048128001391887665, 0.048128001391887665]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	1	AWQ_FP16_INPUT	28	0.05119999870657921	0.050175998359918594	0.05222399905323982	0.011667361148068156	[0.05145600065588951, 0.05110400170087814, 0.05119999870657921, 0.05222399905323982, 0.050175998359918594, 0.05113599821925163, 0.05183999985456467]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	1	AWQ_FP16_INPUT	30	0.05119999870657921	0.05008000135421753	0.05193600058555603	0.011000583056468314	[0.051072001457214355, 0.05119999870657921, 0.05008000135421753, 0.05119999870657921, 0.05116799846291542, 0.05183999985456467, 0.05193600058555603]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	1	AWQ_FP16_INPUT	32	0.053247999399900436	0.05209600180387497	0.05395200103521347	0.00977680409066849	[0.053247999399900436, 0.053247999399900436, 0.05395200103521347, 0.052928000688552856, 0.05209600180387497, 0.053408000618219376, 0.05318399891257286]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	1	AWQ_FP16_INPUT	36	0.05503999814391136	0.053247999399900436	0.055296000093221664	0.012263695941130382	[0.05516799911856651, 0.055296000093221664, 0.05503999814391136, 0.053247999399900436, 0.05427199974656105, 0.05488000065088272, 0.05507199838757515]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	1	AWQ_FP16_INPUT	40	0.07056000083684921	0.07030399888753891	0.0727040022611618	0.011439351010563134	[0.07056000083684921, 0.07030399888753891, 0.07065600156784058, 0.0727040022611618, 0.07052800059318542, 0.07036799937486649, 0.07155200093984604]	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
