phase	decode_step	layer	input_shape	output_shape	output_sha	weight_bytes	kv_key_shape	kv_key_bytes	kv_value_shape	kv_value_bytes
PREFILL		10	[1, 2048, 2048]	[1, 2048, 2048]	a6e2d5a33a18b6db8a8a06fec654f16818f7a188f1dc2f7689c0fec848a183aa	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		11	[1, 2048, 2048]	[1, 2048, 2048]	944d691523515df8259f24364076c8e3eaffe720054d914c8f1722b00966e3cb	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		12	[1, 2048, 2048]	[1, 2048, 2048]	c9c5e195205da8c491c95ea26403076aeb94cf7b2c56a3b9d2d6ad7dfb618e16	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		13	[1, 2048, 2048]	[1, 2048, 2048]	5670def309a520d16b9bf8011b819689b73955b2bbe586bcaea57735b667a1d4	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		14	[1, 2048, 2048]	[1, 2048, 2048]	982906d5d313ac2408edf002148caa4f8a93126b9c175e9c41195f725b0c264c	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		15	[1, 2048, 2048]	[1, 2048, 2048]	0768df063b9c0862cd7fb7ed215f581803834454f22cdf201052f5beebf079f6	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		16	[1, 2048, 2048]	[1, 2048, 2048]	262cc9b3d014d35a9c8948471df2697a4753760cb3e3710dfb44bc2f4cfe9a66	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		17	[1, 2048, 2048]	[1, 2048, 2048]	cb36ed47f21c7fcff9d93c20ae28ce28cfc033b605abd26f035924bb9b59eff7	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		18	[1, 2048, 2048]	[1, 2048, 2048]	0c1b8c075e4a8a2ce12acfee8eabff2cf17a504e641918e96fcbc616f5eca713	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		19	[1, 2048, 2048]	[1, 2048, 2048]	561cc38c78fa718e40fa859a320b50d8812e15180aabfcf377ad91a031e16fd3	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		20	[1, 2048, 2048]	[1, 2048, 2048]	e4b2bbedf29e5161539321b3a109ce25012e566de10a9ac0b7c7cdc11baaffd9	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		21	[1, 2048, 2048]	[1, 2048, 2048]	fe4f3e1a354d59e4638525b36015b1dcf882a20c61824e1c219f66c45cf147cd	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		22	[1, 2048, 2048]	[1, 2048, 2048]	b4969267e19d01a21e2ff79c2043815a0daaa8cd890c0fef3c645bcdedd07574	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		23	[1, 2048, 2048]	[1, 2048, 2048]	9fb74ec25da99b9f753a51aa9f39d3ec9fdf483d918a9143c2adbc30038f8c84	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		24	[1, 2048, 2048]	[1, 2048, 2048]	5fce0e4a9c3986e14b1ffdb07cec6f6632feb487636997757298caa97ea9aa73	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		25	[1, 2048, 2048]	[1, 2048, 2048]	f28490dde6eb0eaba591f3f685ef4da910dabc3af63090160944b2f77f89cf94	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
