source	roi	profile	scope	metric	value	provenance
native_memory_system_stat	prefill	disabled	GLOBAL	avg_icnt2mem_latency	296	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	disabled	GLOBAL	avg_icnt2sh_latency	86	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	disabled	GLOBAL	avg_mrq_latency	48	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	disabled	GLOBAL	max_icnt2mem_latency	4877	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	disabled	GLOBAL	max_icnt2sh_latency	1263	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	disabled	GLOBAL	maxmflatency	6264	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	disabled	GLOBAL	maxmrqlatency	1972	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	averagemflatency	710	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	avg_icnt2mem_latency	296	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	avg_icnt2sh_latency	86	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	avg_mrq_latency	48	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	max_icnt2mem_latency	4877	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	max_icnt2sh_latency	1263	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	maxmflatency	6264	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	ideal	GLOBAL	maxmrqlatency	1972	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	averagemflatency	375	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	avg_icnt2mem_latency	49	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	avg_icnt2sh_latency	7	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	avg_mrq_latency	36	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	max_icnt2mem_latency	5339	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	max_icnt2sh_latency	686	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	maxmflatency	5736	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	generic	GLOBAL	maxmrqlatency	1831	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	averagemflatency	707	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	avg_icnt2mem_latency	341	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	avg_icnt2sh_latency	7	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	avg_mrq_latency	53	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	max_icnt2mem_latency	11691	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	max_icnt2sh_latency	788	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	maxmflatency	13346	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	paper	GLOBAL	maxmrqlatency	3385	existing_gpgpu_sim_stat
