roi	profile	metric	value	provenance
decode1	paper	vm_translation_requester_l1_service_cycles_max	10	simulator_runtime_counter
decode1	paper	vm_translation_requester_l1_service_cycles_total	760223430	simulator_runtime_counter
decode1	paper	vm_translation_requester_l2_queue_cycles_max	34	simulator_runtime_counter
decode1	paper	vm_translation_requester_l2_queue_cycles_total	73016	simulator_runtime_counter
decode1	paper	vm_translation_requester_l2_service_cycles_max	80	simulator_runtime_counter
decode1	paper	vm_translation_requester_l2_service_cycles_total	4634080	simulator_runtime_counter
decode1	paper	vm_translation_requester_latency_cycles_max	10094	simulator_runtime_counter
decode1	paper	vm_translation_requester_latency_cycles_total	774521844	simulator_runtime_counter
decode1	paper	vm_translation_requester_mshr_wait_cycles_max	10004	simulator_runtime_counter
decode1	paper	vm_translation_requester_mshr_wait_cycles_total	9552488	simulator_runtime_counter
decode1	paper	vm_translation_stall_cycles	774521844	simulator_runtime_counter
decode1	paper	vm_translation_waiter_registrations	22408	simulator_runtime_counter
decode1	paper	vm_translation_waiter_wakeups	22408	simulator_runtime_counter
decode1	paper	vm_translation_walk_completions	15691	simulator_runtime_counter
decode1	paper	vm_translation_walk_starts	15691	simulator_runtime_counter
decode1	paper	vm_translation_walkers_active	0	simulator_runtime_counter
prefill	disabled	vm_translation_stall_cycles	0	simulator_runtime_counter
prefill	ideal	vm_translation_stall_cycles	0	simulator_runtime_counter
prefill	generic	vm_l1_tlb_accesses	93933006	simulator_runtime_counter
prefill	generic	vm_l1_tlb_evictions	1244769	simulator_runtime_counter
prefill	generic	vm_l1_tlb_hits	92686765	simulator_runtime_counter
prefill	generic	vm_l1_tlb_lookup_completions	93933006	simulator_runtime_counter
prefill	generic	vm_l1_tlb_lookup_latency_cycles	10	simulator_runtime_counter
prefill	generic	vm_l1_tlb_lookup_launches	93933006	simulator_runtime_counter
prefill	generic	vm_l1_tlb_lookup_service_cycles	939330060	simulator_runtime_counter
prefill	generic	vm_l1_tlb_misses	1246241	simulator_runtime_counter
prefill	generic	vm_l1_tlb_occupancy	1472	simulator_runtime_counter
prefill	generic	vm_l1_tlb_port_stalls	0	simulator_runtime_counter
prefill	generic	vm_l2_tlb_accesses	1246241	simulator_runtime_counter
prefill	generic	vm_l2_tlb_evictions	22015	simulator_runtime_counter
prefill	generic	vm_l2_tlb_hits	1189774	simulator_runtime_counter
prefill	generic	vm_l2_tlb_lookup_completions	1246241	simulator_runtime_counter
prefill	generic	vm_l2_tlb_lookup_latency_cycles	80	simulator_runtime_counter
prefill	generic	vm_l2_tlb_lookup_launches	1246241	simulator_runtime_counter
prefill	generic	vm_l2_tlb_lookup_service_cycles	99699280	simulator_runtime_counter
prefill	generic	vm_l2_tlb_misses	56467	simulator_runtime_counter
prefill	generic	vm_l2_tlb_occupancy	768	simulator_runtime_counter
prefill	generic	vm_l2_tlb_port_stalls	2167618	simulator_runtime_counter
prefill	generic	vm_object_attribution_conservation_pass	1	simulator_runtime_counter
prefill	generic	vm_object_attribution_enabled	1	simulator_runtime_counter
prefill	generic	vm_pte_dram_responses	10384	simulator_runtime_counter
prefill	generic	vm_pte_l2_only_responses	12490	simulator_runtime_counter
prefill	generic	vm_pte_memory_wait_cycles_max	3020	simulator_runtime_counter
prefill	generic	vm_pte_memory_wait_cycles_total	7917163	simulator_runtime_counter
prefill	generic	vm_pte_requests	22874	simulator_runtime_counter
prefill	generic	vm_pte_response_misassociations	0	simulator_runtime_counter
prefill	generic	vm_pte_responses	22874	simulator_runtime_counter
prefill	generic	vm_pwc_accesses	68349	simulator_runtime_counter
prefill	generic	vm_pwc_entries_configured	128	simulator_runtime_counter
prefill	generic	vm_pwc_evictions	0	simulator_runtime_counter
prefill	generic	vm_pwc_hits	68258	simulator_runtime_counter
prefill	generic	vm_pwc_inserts	45	simulator_runtime_counter
prefill	generic	vm_pwc_level_0_accesses	22783	simulator_runtime_counter
prefill	generic	vm_pwc_level_0_hits	22780	simulator_runtime_counter
prefill	generic	vm_pwc_level_0_misses	3	simulator_runtime_counter
prefill	generic	vm_pwc_level_0_pte_requests_skipped	22780	simulator_runtime_counter
prefill	generic	vm_pwc_level_1_accesses	22783	simulator_runtime_counter
prefill	generic	vm_pwc_level_1_hits	22780	simulator_runtime_counter
prefill	generic	vm_pwc_level_1_misses	3	simulator_runtime_counter
prefill	generic	vm_pwc_level_1_pte_requests_skipped	22780	simulator_runtime_counter
prefill	generic	vm_pwc_level_2_accesses	22783	simulator_runtime_counter
prefill	generic	vm_pwc_level_2_hits	22698	simulator_runtime_counter
prefill	generic	vm_pwc_level_2_misses	85	simulator_runtime_counter
prefill	generic	vm_pwc_level_2_pte_requests_skipped	22698	simulator_runtime_counter
prefill	generic	vm_pwc_level_3_accesses	0	simulator_runtime_counter
prefill	generic	vm_pwc_level_3_hits	0	simulator_runtime_counter
prefill	generic	vm_pwc_level_3_misses	0	simulator_runtime_counter
prefill	generic	vm_pwc_level_3_pte_requests_skipped	0	simulator_runtime_counter
prefill	generic	vm_pwc_lookup_latency_cycles	1	simulator_runtime_counter
prefill	generic	vm_pwc_misses	91	simulator_runtime_counter
prefill	generic	vm_pwc_mode	1	simulator_runtime_counter
prefill	generic	vm_pwc_occupancy	45	simulator_runtime_counter
prefill	generic	vm_pwc_occupancy_high_watermark	45	simulator_runtime_counter
prefill	generic	vm_pwc_service_cycles	68349	simulator_runtime_counter
prefill	generic	vm_translation_lookup_inflight_bypasses	945530995	simulator_runtime_counter
prefill	generic	vm_translation_lookup_requests	93933006	simulator_runtime_counter
prefill	generic	vm_translation_mshr_active	0	simulator_runtime_counter
prefill	generic	vm_translation_mshr_allocations	22783	simulator_runtime_counter
prefill	generic	vm_translation_mshr_entries_completed	22783	simulator_runtime_counter
prefill	generic	vm_translation_mshr_full_events	0	simulator_runtime_counter
prefill	generic	vm_translation_mshr_lifetime_cycles_max	3023	simulator_runtime_counter
prefill	generic	vm_translation_mshr_lifetime_cycles_total	8212917	simulator_runtime_counter
prefill	generic	vm_translation_mshr_merges	33684	simulator_runtime_counter
prefill	generic	vm_translation_mshr_occupancy_high_watermark	30	simulator_runtime_counter
prefill	generic	vm_translation_mshr_waiter_depth_max	46	simulator_runtime_counter
prefill	generic	vm_translation_mshr_waiter_depth_total	56467	simulator_runtime_counter
prefill	generic	vm_translation_page_size_bytes	65536	simulator_runtime_counter
prefill	generic	vm_translation_pending_waiter_bypasses	18333032	simulator_runtime_counter
prefill	generic	vm_translation_pwq_full_events	0	simulator_runtime_counter
prefill	generic	vm_translation_pwq_occupancy	0	simulator_runtime_counter
prefill	generic	vm_translation_requester_completions	93933006	simulator_runtime_counter
prefill	generic	vm_translation_requester_l1_queue_cycles_max	0	simulator_runtime_counter
prefill	generic	vm_translation_requester_l1_queue_cycles_total	0	simulator_runtime_counter
prefill	generic	vm_translation_requester_l1_service_cycles_max	10	simulator_runtime_counter
