metric	pre_q05_cumulative	post_q05_cumulative	target_delta
vm_object_UNKNOWN_pte_dram_responses	0	0	0
vm_object_UNKNOWN_pte_l2_only_responses	0	0	0
vm_object_UNKNOWN_pte_memory_wait_cycles_max	0	0	0
vm_object_UNKNOWN_pte_memory_wait_cycles_total	0	0	0
vm_object_UNKNOWN_pte_requests	0	0	0
vm_object_UNKNOWN_pwc_accesses	0	0	0
vm_object_UNKNOWN_pwc_hits	0	0	0
vm_object_UNKNOWN_pwc_misses	0	0	0
vm_object_UNKNOWN_requester_latency_cycles_max	0	0	0
vm_object_UNKNOWN_requester_latency_cycles_total	0	0	0
vm_object_UNKNOWN_requester_mshr_wait_cycles_max	0	0	0
vm_object_UNKNOWN_requester_mshr_wait_cycles_total	0	0	0
vm_object_UNKNOWN_translation_requesters	0	0	0
vm_object_UNKNOWN_unique_translation_keys	0	0	0
vm_object_UNKNOWN_walk_starts	0	0	0
vm_object_WEIGHT_completed	0	0	0
vm_object_WEIGHT_l1_hits	0	0	0
vm_object_WEIGHT_l1_lookup_launches	0	0	0
vm_object_WEIGHT_l1_misses	0	0	0
vm_object_WEIGHT_l2_fills	0	0	0
vm_object_WEIGHT_l2_hits	0	0	0
vm_object_WEIGHT_l2_lookup_launches	0	0	0
vm_object_WEIGHT_l2_misses	0	0	0
vm_object_WEIGHT_mshr_allocations	0	0	0
vm_object_WEIGHT_mshr_merges	0	0	0
vm_object_WEIGHT_pte_dram_responses	0	0	0
vm_object_WEIGHT_pte_l2_only_responses	0	0	0
vm_object_WEIGHT_pte_memory_wait_cycles_max	0	0	0
vm_object_WEIGHT_pte_memory_wait_cycles_total	0	0	0
vm_object_WEIGHT_pte_requests	0	0	0
vm_object_WEIGHT_pwc_accesses	0	0	0
vm_object_WEIGHT_pwc_hits	0	0	0
vm_object_WEIGHT_pwc_misses	0	0	0
vm_object_WEIGHT_requester_latency_cycles_max	0	0	0
vm_object_WEIGHT_requester_latency_cycles_total	0	0	0
vm_object_WEIGHT_requester_mshr_wait_cycles_max	0	0	0
vm_object_WEIGHT_requester_mshr_wait_cycles_total	0	0	0
vm_object_WEIGHT_translation_requesters	0	0	0
vm_object_WEIGHT_unique_translation_keys	0	0	0
vm_object_WEIGHT_walk_starts	0	0	0
vm_object_attribution_conservation_pass	1	1	0
vm_object_attribution_enabled	1	1	0
vm_pte_dram_responses	164	174	10
vm_pte_l2_only_responses	344	352	8
vm_pte_memory_wait_cycles_max	1216	1297	81
vm_pte_memory_wait_cycles_total	171768	179745	7977
vm_pte_requests	508	526	18
vm_pte_response_misassociations	0	0	0
vm_pte_responses	508	526	18
vm_pwc_accesses	1452	1497	45
vm_pwc_entries_configured	128	128	0
vm_pwc_evictions	0	0	0
vm_pwc_hits	1428	1470	42
vm_pwc_inserts	16	19	3
vm_pwc_level_0_accesses	484	499	15
vm_pwc_level_0_hits	483	497	14
vm_pwc_level_0_misses	1	2	1
vm_pwc_level_0_occupancy	0	0	0
vm_pwc_level_0_pte_requests_skipped	483	497	14
vm_pwc_level_1_accesses	484	499	15
vm_pwc_level_1_hits	480	494	14
vm_pwc_level_1_misses	4	5	1
vm_pwc_level_1_occupancy	0	0	0
vm_pwc_level_1_pte_requests_skipped	480	494	14
vm_pwc_level_2_accesses	484	499	15
vm_pwc_level_2_hits	465	479	14
vm_pwc_level_2_misses	19	20	1
vm_pwc_level_2_occupancy	0	0	0
vm_pwc_level_2_pte_requests_skipped	465	479	14
vm_pwc_level_3_accesses	0	0	0
vm_pwc_level_3_hits	0	0	0
vm_pwc_level_3_misses	0	0	0
vm_pwc_level_3_occupancy	0	0	0
vm_pwc_level_3_pte_requests_skipped	0	0	0
vm_pwc_lookup_latency_cycles	1	1	0
vm_pwc_misses	24	27	3
vm_pwc_mode	1	1	0
vm_pwc_occupancy	16	19	3
vm_pwc_occupancy_high_watermark	16	19	3
vm_pwc_physical_f5_array_bits	0	0	0
vm_pwc_physical_f5_attributes_bits	0	0	0
vm_pwc_physical_f5_charged_bits	0	0	0
vm_pwc_physical_f5_enabled	0	0	0
vm_pwc_physical_f5_entries_per_nonleaf_level	0	0	0
vm_pwc_physical_f5_entries_total	0	0	0
vm_pwc_physical_f5_payload_bits	0	0	0
vm_pwc_physical_f5_plru_bits	0	0	0
vm_pwc_physical_f5_sets_per_level	0	0	0
vm_pwc_physical_f5_ways	0	0	0
vm_pwc_physical_payload_validations	0	0	0
vm_pwc_port_accepts	0	0	0
vm_pwc_port_denials	0	0	0
vm_pwc_queue_high_watermark	0	0	0
vm_pwc_queue_wait_cycles_max	0	0	0
vm_pwc_queue_wait_cycles_total	0	0	0
vm_pwc_service_cycles	1452	1497	45
vm_requests	90315434	124669550	34354116
vm_translation_generation_advances	0	0	0
vm_translation_generation_wrap_quiesces	0	0	0
vm_translation_lookup_inflight_bypasses	74253980	102340202	28086222
vm_translation_lookup_requests	7688357	10778769	3090412
vm_translation_mshr_active	0	0	0
vm_translation_mshr_allocations	484	499	15
vm_translation_mshr_entries_completed	484	499	15
vm_translation_mshr_full_events	0	0	0
vm_translation_mshr_lifetime_cycles_max	1882	1923	41
vm_translation_mshr_lifetime_cycles_total	173244	181269	8025
vm_translation_mshr_merges	1473	1566	93
vm_translation_mshr_occupancy_high_watermark	10	10	0
vm_translation_mshr_waiter_depth_max	35	35	0
vm_translation_mshr_waiter_depth_total	1957	2065	108
vm_translation_page_size_bytes	65536	65536	0
vm_translation_pending_waiter_bypasses	686697	773875	87178
vm_translation_pwq_full_events	0	0	0
vm_translation_pwq_occupancy	0	0	0
vm_translation_requester_completions	7688357	10778769	3090412
vm_translation_requester_l1_queue_cycles_max	0	0	0
vm_translation_requester_l1_queue_cycles_total	0	0	0
vm_translation_requester_l1_service_cycles_max	10	10	0
vm_translation_requester_l1_service_cycles_total	76883570	107787690	30904120
vm_translation_requester_l2_queue_cycles_max	34	34	0
